Category Name,Category URL,Product Name,Product SKU
Tangle Teezer,https://www.allhair.ie/tangle-teezer/,Tangle Teezer Detangling Hair Brush Compact Styler Smashed Holo,7990
Tangle Teezer,https://www.allhair.ie/tangle-teezer/,Tangle Teezer Detangling Hair Brush Compact Styler Rose Gold Glaze,7989
Pureology,https://www.allhair.ie/pureology/,Pureology Smooth Perfection Shampoo 250ml,5050
Pureology,https://www.allhair.ie/pureology/,Pureology Smooth Perfection Conditioner 266ml,5055
Pureology,https://www.allhair.ie/pureology/,Pureology Strength Cure Superfood Mask 170g,6259
Pureology,https://www.allhair.ie/pureology/,Pureology - Strength Cure Shampoo 266ml,5052
Pureology,https://www.allhair.ie/pureology/,Pureology - Strength Cure Conditioner 266ml,5057
Pureology,https://www.allhair.ie/pureology/,Pureology Strength Cure Best Blonde Shampoo 266ml,5051
Pureology,https://www.allhair.ie/pureology/,Pureology Strength Cure Blonde Conditioner 266ml,5056
Pureology,https://www.allhair.ie/pureology/,Pureology Pure Hydrate Superfood Mask 200ml,6258
Pureology,https://www.allhair.ie/pureology/,Pureology Pure Hydrate Shine Max 125ml,5069
Pureology,https://www.allhair.ie/pureology/,Pureology - Pure Hydrate Shampoo 266ml,5048
Pureology,https://www.allhair.ie/pureology/,Pureology - Pure Hydrate Conditioner 266ml,5053
Pureology,https://www.allhair.ie/pureology/,Pureology FullFyl Shampoo 250ml,6079
Pureology,https://www.allhair.ie/pureology/,Pureology FullFyl Densify Spray 125ml,6084
Pureology,https://www.allhair.ie/pureology/,Pureology FullFyl Conditioner 250ml,6080
Pureology,https://www.allhair.ie/pureology/,Pureology Colour Fanatic 200ml,5068
Pureology,https://www.allhair.ie/pureology/,Pureology Pure Volume Shampoo 266ml,6076
Pureology,https://www.allhair.ie/pureology/,Pureology Clean Volume Mousse 241g,6085
Pureology,https://www.allhair.ie/pureology/,Pureology Clean Volume Instant Mist 145ml,6086
Pureology,https://www.allhair.ie/pureology/,Pureology Pure Volume Conditioner 266ml,6077
Pureology,https://www.allhair.ie/pureology/,Pureology Beach Waves Sugar Spray 170ml,8536
Pureology,https://www.allhair.ie/pureology/,Pureology Hydrate Gift Set,8994
Pureology,https://www.allhair.ie/pureology/,Pureology Strength Cure Shampoo Gift Set,8995
Pureology,https://www.allhair.ie/pureology/,Pureology Strength Cure Blonde Shampoo Gift Set,8996
Pureology,https://www.allhair.ie/pureology/,Pureology Strength Cure Shampoo 50ml,9010
Pureology,https://www.allhair.ie/pureology/,Pureology Clean Volume Weightless Mousse 65ml,9011
Pureology,https://www.allhair.ie/pureology/,Pureology Fullfyl Densifying Spray 30ml,9012
Pureology,https://www.allhair.ie/pureology/,Pureology Smooth Perfection Shampoo  50ml,9042
Pureology,https://www.allhair.ie/pureology/,Pureology Fullfyl Shampoo 50ml,9043
Pureology,https://www.allhair.ie/pureology/,Pureology Strength Cure Conditioner 50ml,9044
Pureology,https://www.allhair.ie/pureology/,Pureology Hydrate Conditioner 50ml,9045
Pureology,https://www.allhair.ie/pureology/,Pureology Perfect 4 Platinum Shampoo 50ml,9046
Pureology,https://www.allhair.ie/pureology/,Pureology Hydrate Shampoo 50ml,9050
Pureology,https://www.allhair.ie/pureology/,Pureology Strength Cure Blonde Purple Shampoo 50ml,9051
Pureology,https://www.allhair.ie/pureology/,Pureology Perfect 4 Platinum Conditioner 50ml,9080
Pureology,https://www.allhair.ie/pureology/,Pureology Smooth Perfection Conditioner 50ml,9081
